noise,frame_skip,spatial_interval,n_raw,n_resampled,raw_len_m,resampled_len_m,unique_area_m2,strip_area_m2,repeat_coverage,area_coverage,len_vs_truth_pct,repeat_vs_truth_pp
"# truth: len=8.9318m, unique=1.35547m², repeat=0.1073, cov=0.3138, 1mm-ref=1.35611m², noise_sigma=0.003m"
clean,10,0.1,103,88,8.6448,8.4198,1.29380,1.43137,0.0961,0.2995,-5.73,-1.12
noisy,10,0.1,103,88,8.6529,8.4296,1.29313,1.43303,0.0976,0.2993,-5.62,-0.97
clean,10,0.2,103,45,8.6448,8.3070,0.97658,1.41219,0.3085,0.2261,-6.99,+20.12
noisy,10,0.2,103,45,8.6529,8.3236,0.97770,1.41501,0.3090,0.2263,-6.81,+20.17
clean,15,0.0,69,69,8.5613,8.5613,1.27545,1.45542,0.1237,0.2952,-4.15,+1.64
noisy,15,0.0,69,69,8.5720,8.5720,1.27243,1.45724,0.1268,0.2945,-4.03,+1.95
clean,15,0.01,69,858,8.5613,8.5460,1.32412,1.45282,0.0886,0.3065,-4.32,-1.87
noisy,15,0.01,69,859,8.5720,8.5491,1.32390,1.45335,0.0891,0.3065,-4.28,-1.82
clean,15,0.02,69,430,8.5613,8.5081,1.32178,1.44637,0.0861,0.3060,-4.74,-2.12
noisy,15,0.02,69,430,8.5720,8.5335,1.32240,1.45070,0.0884,0.3061,-4.46,-1.89
clean,15,0.05,69,173,8.5613,8.4839,1.31825,1.44226,0.0860,0.3052,-5.01,-2.13
noisy,15,0.05,69,173,8.5720,8.4774,1.31618,1.44116,0.0867,0.3047,-5.09,-2.06
clean,15,0.1,69,87,8.5613,8.3658,1.28845,1.42219,0.0940,0.2983,-6.34,-1.33
noisy,15,0.1,69,87,8.5720,8.3739,1.28730,1.42356,0.0957,0.2980,-6.25,-1.16
clean,15,0.2,69,44,8.5613,8.2141,0.96735,1.39639,0.3073,0.2239,-8.04,+19.99
noisy,15,0.2,69,44,8.5720,8.2233,0.96703,1.39796,0.3083,0.2238,-7.93,+20.10
clean,30,0.0,35,35,8.3753,8.3753,0.78287,1.42381,0.4502,0.1812,-6.23,+34.29
noisy,30,0.0,35,35,8.3939,8.3939,0.78233,1.42696,0.4518,0.1811,-6.02,+34.45
clean,30,0.01,35,839,8.3753,8.3609,1.31295,1.42135,0.0763,0.3039,-6.39,-3.10
noisy,30,0.01,35,841,8.3939,8.3738,1.31350,1.42354,0.0773,0.3041,-6.25,-3.00
clean,30,0.02,35,420,8.3753,8.3395,1.31130,1.41771,0.0751,0.3035,-6.63,-3.22
noisy,30,0.02,35,421,8.3939,8.3596,1.31135,1.42113,0.0772,0.3036,-6.41,-3.01
clean,30,0.05,35,169,8.3753,8.3035,1.30380,1.41159,0.0764,0.3018,-7.03,-3.09
noisy,30,0.05,35,169,8.3939,8.3104,1.30405,1.41276,0.0770,0.3019,-6.96,-3.04
clean,30,0.1,35,85,8.3753,8.1969,1.27425,1.39347,0.0856,0.2950,-8.23,-2.17
noisy,30,0.1,35,85,8.3939,8.2348,1.27810,1.39991,0.0870,0.2959,-7.80,-2.03
clean,30,0.2,35,43,8.3753,8.0293,0.94728,1.36497,0.3060,0.2193,-10.10,+19.87
noisy,30,0.2,35,43,8.3939,8.0489,0.94688,1.36831,0.3080,0.2192,-9.88,+20.07
clean,60,0.0,18,18,7.8952,7.8952,0.40930,1.34218,0.6950,0.0947,-11.61,+58.77
noisy,60,0.0,18,18,7.8952,7.8952,0.40865,1.34219,0.6955,0.0946,-11.61,+58.82
clean,60,0.01,18,791,7.8952,7.8778,1.21290,1.33923,0.0943,0.2808,-11.80,-1.30
noisy,60,0.01,18,791,7.8952,7.8769,1.21220,1.33908,0.0948,0.2806,-11.81,-1.26
clean,60,0.02,18,396,7.8952,7.8650,1.21162,1.33705,0.0938,0.2805,-11.94,-1.35
noisy,60,0.02,18,396,7.8952,7.8568,1.20983,1.33565,0.0942,0.2801,-12.04,-1.31
clean,60,0.05,18,159,7.8952,7.7627,1.19735,1.31966,0.0927,0.2772,-13.09,-1.46
noisy,60,0.05,18,159,7.8952,7.7647,1.19870,1.32000,0.0919,0.2775,-13.07,-1.54
clean,60,0.1,18,80,7.8952,7.7169,1.17058,1.31187,0.1077,0.2710,-13.60,+0.04
noisy,60,0.1,18,80,7.8952,7.7232,1.17205,1.31294,0.1073,0.2713,-13.53,+0.00
clean,60,0.2,18,41,7.8952,7.7027,0.88735,1.30946,0.3224,0.2054,-13.76,+21.51
noisy,60,0.2,18,41,7.8952,7.7091,0.88608,1.31056,0.3239,0.2051,-13.69,+21.66
