指标,值,备注
视频文件,.\camera_record06061635.mp4,
总录制时长 (s),470.6,
有效工作时长 (s),469.7,
总帧数,12222,
有效轨迹点,10401,
区域覆盖率,83.9%,已覆盖141665/168801格
重复覆盖率,41.3%,"条带=6.0350m², 唯一覆盖=3.5416m²"
轨迹长度 (m),35.50,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
