指标,值,备注
视频文件,.\camera_record06051348.mp4,
总录制时长 (s),609.5,
有效工作时长 (s),603.8,
总帧数,18076,
有效轨迹点,12862,
区域覆盖率,79.0%,已覆盖134984/170762格
重复覆盖率,46.1%,"条带=6.2656m², 唯一覆盖=3.3746m²"
轨迹长度 (m),36.86,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
