指标,值,备注
视频文件,.\camera_record06061617.mp4,
总录制时长 (s),534.1,
有效工作时长 (s),520.2,
总帧数,14610,
有效轨迹点,10871,
区域覆盖率,65.4%,已覆盖110555/168977格
重复覆盖率,53.7%,"条带=5.9720m², 唯一覆盖=2.7639m²"
轨迹长度 (m),35.13,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
