指标,值,备注
视频文件,.\camera_record06032023.mp4,
总录制时长 (s),532.0,
有效工作时长 (s),522.2,
总帧数,14783,
有效轨迹点,12256,
区域覆盖率,73.4%,已覆盖124996/170194格
重复覆盖率,46.0%,"条带=5.7858m², 唯一覆盖=3.1249m²"
轨迹长度 (m),34.03,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
