指标,值,备注
视频文件,.\camera_record06031645.mp4,
总录制时长 (s),648.4,
有效工作时长 (s),640.6,
总帧数,18383,
有效轨迹点,12684,
区域覆盖率,76.1%,已覆盖130087/170842格
重复覆盖率,45.5%,"条带=5.9618m², 唯一覆盖=3.2522m²"
轨迹长度 (m),35.07,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
