指标,值,备注
视频文件,.\camera_record06061601.mp4,
总录制时长 (s),528.6,
有效工作时长 (s),519.9,
总帧数,14903,
有效轨迹点,12683,
区域覆盖率,87.7%,已覆盖148167/168980格
重复覆盖率,44.8%,"条带=6.7089m², 唯一覆盖=3.7042m²"
轨迹长度 (m),39.46,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
