指标,值,备注
视频文件,.\camera_record06031717.mp4,
总录制时长 (s),510.4,
有效工作时长 (s),474.5,
总帧数,15106,
有效轨迹点,13053,
区域覆盖率,82.4%,已覆盖140708/170832格
重复覆盖率,41.6%,"条带=6.0212m², 唯一覆盖=3.5177m²"
轨迹长度 (m),35.42,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
