指标,值,备注
视频文件,.\camera_record06241430.mp4,
总录制时长 (s),688.0,
有效工作时长 (s),672.1,
总帧数,20492,
有效轨迹点,14620,
区域覆盖率,65.0%,已覆盖111000/170733格
重复覆盖率,58.1%,"条带=6.6301m², 唯一覆盖=2.7750m²"
轨迹长度 (m),39.00,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
