t_sec,x_paper,y_paper
7.833,0.3547,-0.0698
8.000,0.3546,-0.0681
8.167,0.3528,-0.0666
8.333,0.3509,-0.0634
8.667,0.3488,-0.0585
8.833,0.3452,-0.0555
9.167,0.3433,-0.0523
9.833,0.3536,-0.0364
10.000,0.3853,-0.0357
10.500,0.4885,-0.0496
10.667,0.5223,-0.0537
10.833,0.5576,-0.0560
11.167,0.6164,-0.0582
11.333,0.6182,-0.0597
11.500,0.6198,-0.0596
11.833,0.6768,-0.0603
12.000,0.7172,-0.0622
12.167,0.7508,-0.0630
12.500,0.8231,-0.0659
12.833,0.8915,-0.0624
13.500,1.0224,-0.0625
13.667,1.0627,-0.0627
13.833,1.0994,-0.0600
14.000,1.1246,-0.0597
14.333,1.1734,-0.0610
14.500,1.2372,-0.0595
15.000,1.3394,-0.0551
15.167,1.3678,-0.0530
15.333,1.3932,-0.0544
15.500,1.4151,-0.0544
15.667,1.4369,-0.0544
15.833,1.4539,-0.0565
16.000,1.4740,-0.0550
16.167,1.4841,-0.0542
16.333,1.4977,-0.0565
16.500,1.5146,-0.0569
16.667,1.5248,-0.0578
16.833,1.5366,-0.0586
17.000,1.5435,-0.0597
17.333,1.5571,-0.0621
17.667,1.5741,-0.0641
17.833,1.5808,-0.0636
18.000,1.5911,-0.0662
18.167,1.5995,-0.0656
18.333,1.6065,-0.0684
18.500,1.6150,-0.0694
18.667,1.6167,-0.0693
18.833,1.6217,-0.0689
19.000,1.6252,-0.0703
19.333,1.6307,-0.0766
19.500,1.6307,-0.0766
19.667,1.6307,-0.0766
19.833,1.6307,-0.0766
20.000,1.6307,-0.0766
20.167,1.6307,-0.0766
20.333,1.6307,-0.0766
20.500,1.6291,-0.0767
20.667,1.6291,-0.0767
20.833,1.6307,-0.0766
21.000,1.6307,-0.0766
21.167,1.6307,-0.0766
21.500,1.6307,-0.0766
21.667,1.6323,-0.0748
21.833,1.6323,-0.0748
22.167,1.6307,-0.0766
22.667,1.6307,-0.0766
22.833,1.6291,-0.0767
24.000,1.6375,-0.0979
24.167,1.6392,-0.0978
28.667,1.7067,-0.0994
29.000,1.7063,-0.0944
29.167,1.7080,-0.0942
29.333,1.7108,-0.0873
29.667,1.6930,-0.0752
29.833,1.6672,-0.0688
30.000,1.6250,-0.0687
30.167,1.5913,-0.0679
30.333,1.5543,-0.0690
30.500,1.5271,-0.0660
30.667,1.4902,-0.0671
31.000,1.4241,-0.0621
31.167,1.3906,-0.0646
31.333,1.3553,-0.0640
31.500,1.3300,-0.0642
31.667,1.2812,-0.0629
32.000,1.2205,-0.0608
32.333,1.1431,-0.0600
32.667,1.0726,-0.0603
32.833,1.0457,-0.0607
33.167,0.9788,-0.0624
33.500,0.9048,-0.0613
33.667,0.8680,-0.0625
33.833,0.8346,-0.0633
34.000,0.7975,-0.0611
34.167,0.7707,-0.0615
34.333,0.7308,-0.0646
34.500,0.6955,-0.0639
34.833,0.6301,-0.0622
35.000,0.5934,-0.0633
35.167,0.5666,-0.0637
35.333,0.5346,-0.0611
35.500,0.4896,-0.0628
35.833,0.4277,-0.0625
36.000,0.4011,-0.0646
36.167,0.3828,-0.0660
36.500,0.3326,-0.0648
36.667,0.3178,-0.0676
36.833,0.2994,-0.0673
37.000,0.2863,-0.0700
37.167,0.2728,-0.0693
37.333,0.2630,-0.0717
38.000,0.2280,-0.0727
38.167,0.2199,-0.0750
38.333,0.2117,-0.0773
38.833,0.1869,-0.0792
39.000,0.1802,-0.0797
39.333,0.1603,-0.0812
39.500,0.1587,-0.0814
39.833,0.1554,-0.0816
40.167,0.1473,-0.0856
40.333,0.1473,-0.0856
40.500,0.1489,-0.0838
40.667,0.1489,-0.0838
40.833,0.1473,-0.0856
41.000,0.1473,-0.0856
41.167,0.1473,-0.0856
41.500,0.1469,-0.0806
41.833,0.1464,-0.0740
43.167,0.1332,-0.0566
43.333,0.1280,-0.0537
43.500,0.1277,-0.0503
43.667,0.1242,-0.0489
43.833,0.1209,-0.0492
44.000,0.1208,-0.0475
44.167,0.1141,-0.0480
44.333,0.1107,-0.0466
44.667,0.1059,-0.0487
44.833,0.1042,-0.0488
45.000,0.1025,-0.0489
45.167,0.1025,-0.0489
45.333,0.1025,-0.0489
45.500,0.1025,-0.0489
45.833,0.1042,-0.0488
46.000,0.1025,-0.0489
46.167,0.1025,-0.0489
46.333,0.1077,-0.0502
46.500,0.1110,-0.0499
46.667,0.1107,-0.0466
46.833,0.1173,-0.0461
47.000,0.1222,-0.0441
47.333,0.1259,-0.0488
47.833,0.1360,-0.0497
48.000,0.1396,-0.0528
48.167,0.1414,-0.0543
48.500,0.1451,-0.0590
48.833,0.1472,-0.0639
49.667,0.1536,-0.0801
49.833,0.1522,-0.0835
50.000,0.1541,-0.0867
50.667,0.1543,-0.0884
50.833,0.1544,-0.0900
51.000,0.1544,-0.0900
51.167,0.1512,-0.0919
55.167,0.1106,-0.0850
55.333,0.1162,-0.0729
55.500,0.1171,-0.0628
56.000,0.1233,-0.0574
56.167,0.1260,-0.0505
56.333,0.1288,-0.0436
56.667,0.1340,-0.0265
57.000,0.1415,-0.0159
57.167,0.1453,-0.0022
57.333,0.1466,0.0029
57.500,0.1508,0.0115
57.667,0.1519,0.0183
57.833,0.1519,0.0183
58.000,0.1519,0.0183
58.167,0.1519,0.0183
58.333,0.1519,0.0183
58.500,0.1519,0.0183
58.667,0.1535,0.0201
59.000,0.1543,0.0302
59.333,0.1493,0.0298
59.500,0.1472,0.0346
60.000,0.1418,0.0392
60.167,0.1398,0.0441
60.500,0.1359,0.0505
60.833,0.1323,0.0535
61.167,0.1435,0.0594
61.333,0.1762,0.0669
61.500,0.2111,0.0696
62.000,0.3226,0.0748
62.167,0.3428,0.0730
62.667,0.4813,0.0770
62.833,0.5148,0.0762
63.000,0.5499,0.0772
63.333,0.6102,0.0768
63.500,0.6153,0.0755
63.833,0.6185,0.0774
64.167,0.6973,0.0768
64.500,0.7661,0.0753
64.833,0.8351,0.0723
