指标,值,备注
视频文件,.\camera_record06051904.mp4,
总录制时长 (s),548.4,
有效工作时长 (s),547.3,
总帧数,15122,
有效轨迹点,13638,
区域覆盖率,89.1%,已覆盖152328/171021格
重复覆盖率,46.8%,"条带=7.1577m², 唯一覆盖=3.8082m²"
轨迹长度 (m),42.10,
割草宽度 (m),0.170,
覆盖半径 (m),0.085,
网格分辨率 (m),0.0050,
